model,component,eigenvalue,explained_energy,cumulative_energy
CNN-M,100,0.0003156961434215053,1.1569206513833636e-05,0.9996955501187761
CNN-M,101,0.00030420024421367133,1.1147920303124139e-05,0.9997066980390792
CNN-M,102,0.00029817407083322704,1.092708122802197e-05,0.9997176251203073
CNN-M,103,0.0002852176262972491,1.0452270921829456e-05,0.999728077391229
CNN-M,104,0.0002800119463433164,1.026150018329826e-05,0.9997383388914124
CNN-M,105,0.00027211397773709375,9.972066081079384e-06,0.9997483109574935
CNN-M,106,0.0002699853087224531,9.894057489770445e-06,0.9997582050149832
CNN-M,107,0.0002649602336724649,9.709905316193827e-06,0.9997679149202995
CNN-M,108,0.00025211276445202786,9.239088590400297e-06,0.9997771540088899
CNN-M,109,0.00024913192164269016,9.129850683111517e-06,0.999786283859573
